symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
DAX,DE,03/30/17,30,12266.347,0,C,0.143699,0.508217
DAX,DE,03/30/17,30,12266.347,0,P,0.151877,-0.491315
DAX,DE,03/30/17,30,12879.663,5,C,0.124702,0.089014
DAX,DE,03/30/17,30,11653.029,5,P,0.176705,-0.149674
DAX,DE,03/30/17,30,13492.981,10,C,0.119207,0.002788
DAX,DE,03/30/17,30,11039.712,10,P,0.206117,-0.034952
DAX,DE,03/30/17,30,14106.299,15,C,0.119488,0.000024
DAX,DE,03/30/17,30,10426.395,15,P,0.237343,-0.007708
DAX,DE,03/30/17,30,14719.616,20,C,0.122346,0
DAX,DE,03/30/17,30,9813.077,20,P,0.259488,-0.001196
DAX,DE,03/30/17,30,15332.934,25,C,0.125593,0
DAX,DE,03/30/17,30,9199.76,25,P,0.261708,-0.000054
DAX,DE,03/30/17,30,15946.25,30,C,0.129128,0
DAX,DE,03/30/17,30,8586.442,30,P,0.263967,-0.000001
DAX,DE,03/30/17,30,16559.568,35,C,0.129404,0
DAX,DE,03/30/17,30,7973.125,35,P,0.264266,-0
DAX,DE,03/30/17,30,17172.885,40,C,0.129404,0
DAX,DE,03/30/17,30,7359.808,40,P,0.264266,-0
DAX,DE,03/30/17,30,17786.203,45,C,0.129404,0
DAX,DE,03/30/17,30,6746.491,45,P,0.264266,0
DAX,DE,03/30/17,30,18399.52,50,C,0.129404,0
DAX,DE,03/30/17,30,6133.173,50,P,0.264266,0
DAX,DE,03/30/17,30,19012.836,55,C,0.129404,0
DAX,DE,03/30/17,30,5519.856,55,P,0.264266,0
DAX,DE,03/30/17,30,19626.154,60,C,0.129404,0
DAX,DE,03/30/17,30,4906.539,60,P,0.264266,0
DAX,DE,03/30/17,60,12275.091,0,C,0.165108,0.51335
DAX,DE,03/30/17,60,12275.091,0,P,0.162243,-0.486881
DAX,DE,03/30/17,60,12888.845,5,C,0.139151,0.201411
DAX,DE,03/30/17,60,11661.336,5,P,0.187365,-0.237861
DAX,DE,03/30/17,60,13502.601,10,C,0.118287,0.024802
DAX,DE,03/30/17,60,11047.581,10,P,0.211015,-0.101282
DAX,DE,03/30/17,60,14116.354,15,C,0.117795,0.001851
