symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SPX,CBOE,03/30/17,30,2368.927,0,C,0.093276,0.492384
SPX,CBOE,03/30/17,30,2368.927,0,P,0.088111,-0.50699
SPX,CBOE,03/30/17,30,2487.373,5,C,0.087333,0.024455
SPX,CBOE,03/30/17,30,2250.481,5,P,0.139932,-0.100399
SPX,CBOE,03/30/17,30,2605.82,10,C,0.107517,0.000956
SPX,CBOE,03/30/17,30,2132.034,10,P,0.204986,-0.035217
SPX,CBOE,03/30/17,30,2724.266,15,C,0.107517,0.000003
SPX,CBOE,03/30/17,30,2013.588,15,P,0.264469,-0.014955
SPX,CBOE,03/30/17,30,2842.712,20,C,0.105356,0
SPX,CBOE,03/30/17,30,1895.142,20,P,0.322643,-0.007134
SPX,CBOE,03/30/17,30,2961.159,25,C,0.105356,0
SPX,CBOE,03/30/17,30,1776.695,25,P,0.369616,-0.002884
SPX,CBOE,03/30/17,30,3079.605,30,C,0.105356,0
SPX,CBOE,03/30/17,30,1658.249,30,P,0.370703,-0.000334
SPX,CBOE,03/30/17,30,3198.052,35,C,0.105356,0
SPX,CBOE,03/30/17,30,1539.802,35,P,0.370703,-0.000021
SPX,CBOE,03/30/17,30,3316.498,40,C,0.105356,0
SPX,CBOE,03/30/17,30,1421.356,40,P,0.370703,-0.000001
SPX,CBOE,03/30/17,30,3434.944,45,C,0.105356,0
SPX,CBOE,03/30/17,30,1302.91,45,P,0.370703,-0
SPX,CBOE,03/30/17,30,3553.391,50,C,0.105356,0
SPX,CBOE,03/30/17,30,1184.464,50,P,0.370703,-0
SPX,CBOE,03/30/17,30,3671.837,55,C,0.105356,0
SPX,CBOE,03/30/17,30,1066.017,55,P,0.370772,-0
SPX,CBOE,03/30/17,30,3790.283,60,C,0.105356,0
SPX,CBOE,03/30/17,30,947.571,60,P,0.370772,0
SPX,CBOE,03/30/17,60,2368.927,0,C,0.099009,0.490939
SPX,CBOE,03/30/17,60,2368.927,0,P,0.097849,-0.50608
SPX,CBOE,03/30/17,60,2487.373,5,C,0.082186,0.067335
SPX,CBOE,03/30/17,60,2250.481,5,P,0.133731,-0.171913
SPX,CBOE,03/30/17,60,2605.82,10,C,0.096382,0.006938
SPX,CBOE,03/30/17,60,2132.034,10,P,0.173168,-0.064852
SPX,CBOE,03/30/17,60,2724.266,15,C,0.097016,0.000176
SPX,CBOE,03/30/17,60,2013.588,15,P,0.214846,-0.029189
SPX,CBOE,03/30/17,60,2842.712,20,C,0.097016,0.000002
SPX,CBOE,03/30/17,60,1895.142,20,P,0.258621,-0.015118
SPX,CBOE,03/30/17,60,2961.159,25,C,0.097016,0
SPX,CBOE,03/30/17,60,1776.695,25,P,0.301398,-0.008114
SPX,CBOE,03/30/17,60,3079.605,30,C,0.097016,0
SPX,CBOE,03/30/17,60,1658.249,30,P,0.343886,-0.004424
SPX,CBOE,03/30/17,60,3198.052,35,C,0.097016,0
SPX,CBOE,03/30/17,60,1539.802,35,P,0.383155,-0.002243
SPX,CBOE,03/30/17,60,3316.498,40,C,0.097016,0
SPX,CBOE,03/30/17,60,1421.356,40,P,0.399999,-0.000636
SPX,CBOE,03/30/17,60,3434.944,45,C,0.097016,0
SPX,CBOE,03/30/17,60,1302.91,45,P,0.399999,-0.000085
SPX,CBOE,03/30/17,60,3553.391,50,C,0.097016,0
SPX,CBOE,03/30/17,60,1184.464,50,P,0.399999,-0.000007
SPX,CBOE,03/30/17,60,3671.837,55,C,0.097016,0
SPX,CBOE,03/30/17,60,1066.017,55,P,0.409011,-0.000001
SPX,CBOE,03/30/17,60,3790.283,60,C,0.097016,0
SPX,CBOE,03/30/17,60,947.571,60,P,0.409011,-0
SPX,CBOE,03/30/17,90,2368.927,0,C,0.108275,0.493273
SPX,CBOE,03/30/17,90,2368.927,0,P,0.106842,-0.502192
SPX,CBOE,03/30/17,90,2487.373,5,C,0.088502,0.127699
SPX,CBOE,03/30/17,90,2250.481,5,P,0.137066,-0.223165
SPX,CBOE,03/30/17,90,2605.82,10,C,0.09286,0.018315
SPX,CBOE,03/30/17,90,2132.034,10,P,0.168919,-0.100858
SPX,CBOE,03/30/17,90,2724.266,15,C,0.098367,0.001989
SPX,CBOE,03/30/17,90,2013.588,15,P,0.201828,-0.049077
SPX,CBOE,03/30/17,90,2842.712,20,C,0.098367,0.000088
SPX,CBOE,03/30/17,90,1895.142,20,P,0.235762,-0.025625
SPX,CBOE,03/30/17,90,2961.159,25,C,0.093031,0.000001
SPX,CBOE,03/30/17,90,1776.695,25,P,0.270239,-0.013984
SPX,CBOE,03/30/17,90,3079.605,30,C,0.093031,0
SPX,CBOE,03/30/17,90,1658.249,30,P,0.305502,-0.007858
SPX,CBOE,03/30/17,90,3198.052,35,C,0.093031,0
SPX,CBOE,03/30/17,90,1539.802,35,P,0.342207,-0.00453
SPX,CBOE,03/30/17,90,3316.498,40,C,0.093031,0
SPX,CBOE,03/30/17,90,1421.356,40,P,0.374408,-0.002319
SPX,CBOE,03/30/17,90,3434.944,45,C,0.093031,0
SPX,CBOE,03/30/17,90,1302.91,45,P,0.414489,-0.001353
SPX,CBOE,03/30/17,90,3553.391,50,C,0.093031,0
SPX,CBOE,03/30/17,90,1184.464,50,P,0.415769,-0.000278
SPX,CBOE,03/30/17,90,3671.837,55,C,0.093031,0
SPX,CBOE,03/30/17,90,1066.017,55,P,0.415769,-0.000037
SPX,CBOE,03/30/17,90,3790.283,60,C,0.093031,0
SPX,CBOE,03/30/17,90,947.571,60,P,0.415769,-0.000003
SPX,CBOE,03/30/17,120,2368.927,0,C,0.114047,0.495192
SPX,CBOE,03/30/17,120,2368.927,0,P,0.110754,-0.499122
SPX,CBOE,03/30/17,120,2487.373,5,C,0.092996,0.174201
SPX,CBOE,03/30/17,120,2250.481,5,P,0.138577,-0.254533
SPX,CBOE,03/30/17,120,2605.82,10,C,0.090601,0.031603
SPX,CBOE,03/30/17,120,2132.034,10,P,0.166916,-0.129725
SPX,CBOE,03/30/17,120,2724.266,15,C,0.097878,0.006083
SPX,CBOE,03/30/17,120,2013.588,15,P,0.195314,-0.068221
SPX,CBOE,03/30/17,120,2842.712,20,C,0.097878,0.000547
SPX,CBOE,03/30/17,120,1895.142,20,P,0.223919,-0.037008
SPX,CBOE,03/30/17,120,2961.159,25,C,0.097878,0.000033
SPX,CBOE,03/30/17,120,1776.695,25,P,0.252956,-0.020568
SPX,CBOE,03/30/17,120,3079.605,30,C,0.097878,0.000001
SPX,CBOE,03/30/17,120,1658.249,30,P,0.282716,-0.011633
SPX,CBOE,03/30/17,120,3198.052,35,C,0.097878,0
SPX,CBOE,03/30/17,120,1539.802,35,P,0.312845,-0.006566
SPX,CBOE,03/30/17,120,3316.498,40,C,0.097878,0
SPX,CBOE,03/30/17,120,1421.356,40,P,0.343719,-0.003676
SPX,CBOE,03/30/17,120,3434.944,45,C,0.097878,0
SPX,CBOE,03/30/17,120,1302.91,45,P,0.365728,-0.001608
SPX,CBOE,03/30/17,120,3553.391,50,C,0.097878,0
SPX,CBOE,03/30/17,120,1184.464,50,P,0.366251,-0.000342
SPX,CBOE,03/30/17,120,3671.837,55,C,0.097878,0
SPX,CBOE,03/30/17,120,1066.017,55,P,0.366251,-0.000049
SPX,CBOE,03/30/17,120,3790.283,60,C,0.097878,0
SPX,CBOE,03/30/17,120,947.571,60,P,0.366251,-0.000004
SPX,CBOE,03/30/17,150,2368.927,0,C,0.117732,0.497179
SPX,CBOE,03/30/17,150,2368.927,0,P,0.116906,-0.494921
SPX,CBOE,03/30/17,150,2487.373,5,C,0.097354,0.212316
SPX,CBOE,03/30/17,150,2250.481,5,P,0.141841,-0.278404
SPX,CBOE,03/30/17,150,2605.82,10,C,0.090588,0.048344
SPX,CBOE,03/30/17,150,2132.034,10,P,0.16775,-0.155168
SPX,CBOE,03/30/17,150,2724.266,15,C,0.097264,0.012055
SPX,CBOE,03/30/17,150,2013.588,15,P,0.193091,-0.087202
SPX,CBOE,03/30/17,150,2842.712,20,C,0.103992,0.00304
SPX,CBOE,03/30/17,150,1895.142,20,P,0.218256,-0.049465
SPX,CBOE,03/30/17,150,2961.159,25,C,0.103992,0.000396
SPX,CBOE,03/30/17,150,1776.695,25,P,0.244336,-0.028596
SPX,CBOE,03/30/17,150,3079.605,30,C,0.103992,0.00004
SPX,CBOE,03/30/17,150,1658.249,30,P,0.271669,-0.016862
SPX,CBOE,03/30/17,150,3198.052,35,C,0.103992,0.000003
SPX,CBOE,03/30/17,150,1539.802,35,P,0.298331,-0.009707
SPX,CBOE,03/30/17,150,3316.498,40,C,0.103992,0
SPX,CBOE,03/30/17,150,1421.356,40,P,0.326696,-0.005635
SPX,CBOE,03/30/17,150,3434.944,45,C,0.103992,0
SPX,CBOE,03/30/17,150,1302.91,45,P,0.357444,-0.003315
